0,"0.012*""搭配"" + 0.010*""时尚"" + 0.007*""穿"" + 0.007*""设计"" + 0.006*""导语"" + 0.006*""组图"""
1,"0.010*""工作"" + 0.009*""考试"" + 0.006*""社会"" + 0.006*""国家"" + 0.005*""组织"" + 0.005*""中"""
2,"0.016*""像素"" + 0.016*""拍摄"" + 0.015*""功能"" + 0.014*""采用"" + 0.012*""万"" + 0.010*""机身"""
3,"0.074*""基金"" + 0.014*""公司"" + 0.012*""市场"" + 0.012*""投资"" + 0.009*""中"" + 0.008*""股票"""
4,"0.017*""定向"" + 0.015*""优惠"" + 0.010*""项目"" + 0.010*""平米"" + 0.009*""开盘"" + 0.009*""大成"""
5,"0.011*""考试"" + 0.010*""考生"" + 0.010*""时间"" + 0.010*""中"" + 0.010*""做"" + 0.009*""听力"""
6,"0.014*""女儿国"" + 0.010*""中"" + 0.007*""游戏"" + 0.007*""小青"" + 0.006*""技能"" + 0.005*""装备"""
7,"0.021*""台湾"" + 0.016*""传感器"" + 0.007*""全景网"" + 0.006*""大成"" + 0.006*""台"" + 0.005*""大陆"""
8,"0.024*""玩家"" + 0.020*""游戏"" + 0.015*""活动"" + 0.011*""手机"" + 0.008*""奖励"" + 0.007*""中"""
9,"0.015*""信息"" + 0.013*""中"" + 0.012*""四六级"" + 0.011*""考生"" + 0.011*""阅读"" + 0.010*""考试"""
